STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140601,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140602,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140603,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140604,-9999,-9999,0.01,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140605,-9999,-9999,0.06,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140606,-9999,-9999,0.73,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140607,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140608,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140609,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140610,-9999,-9999,0.09,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140611,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140612,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140613,-9999,-9999,0.41,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140614,-9999,-9999,0.53,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140615,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140616,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140617,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140618,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140619,-9999,-9999,0.01,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140620,-9999,-9999,0.11,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140621,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140622,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140623,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140624,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140625,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140626,-9999,-9999,0.25,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140627,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140628,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140629,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIKN0002,EAST GREENWICH 2.3 ESE RI US,8.8,41.6625,-71.4159,20140630,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIPR0014,WOONSOCKET 1.3 ESE RI US,107.9,41.9913,-71.4784,20140601,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIPR0014,WOONSOCKET 1.3 ESE RI US,107.9,41.9913,-71.4784,20140602,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIPR0014,WOONSOCKET 1.3 ESE RI US,107.9,41.9913,-71.4784,20140603,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIPR0014,WOONSOCKET 1.3 ESE RI US,107.9,41.9913,-71.4784,20140604,-9999,-9999,0.07,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1RIPR0014,WOONSOCKET 1.3 ESE RI US,107.9,41.9913,-71.4784,20140605,-9999,-9999,0.01,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1RIPR0014,WOONSOCKET 1.3 ESE RI US,107.9,41.9913,-71.4784,20140606,-9999,-9999,0.88,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1RIPR0014,WOONSOCKET 1.3 ESE RI US,107.9,41.9913,-71.4784,20140607,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIPR0014,WOONSOCKET 1.3 ESE RI US,107.9,41.9913,-71.4784,20140608,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1RIPR0014,WOONSOCKET 1.3 ESE RI US,107.9,41.9913,-71.4784,20140609,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
