STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,TOBS,WESD
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,152,7.6,0,9.9,12.6,8.1,8.1,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,153,17.8,0,7.3,9.5,6.3,6.3,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,154,0,0,7.5,9.8,5.9,7.2,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,155,0,0,9.5,13.2,7,8.1,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,156,0,0,13.4,20.6,6.5,10.7,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,157,0,0,16,24.1,9,12.1,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,158,0,0,17.8,25.5,11.3,13.7,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,159,0,0,18.5,26.3,12.1,12.9,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,160,0,0,16.8,25.1,9.3,9.7,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,161,0,0,13.2,20.8,7.4,8.6,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,162,0,0,12.5,21.3,6.4,6.4,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,163,0,0,8.1,14.7,4,4.1,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,164,0,0,9.4,16.9,2.8,6,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,165,0,0,14,22.5,5.7,11.5,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,166,0,0,16.5,23.5,10.6,11.3,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,167,0,0,13.1,20.3,6.7,6.7,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,168,0,0,12.6,19.9,6,11,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,169,0,0,13.4,19.9,8.1,8.3,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,170,0,0,9.8,15.8,5.1,5.1,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,171,0,0,11.2,18.4,5.1,7.9,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,172,0,0,13.2,20,7.7,9,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,173,0,0,12.4,18.7,7.5,7.6,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,174,0,0,13,20.1,6.7,10.8,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,175,0,0,13.9,19,8.9,10.4,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,176,0,0,17.1,25.8,9.4,13.8,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,177,0,0,20.2,29.1,12.8,17.6,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,178,0,0,22.2,30.8,16.9,18.4,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,179,0,0,19.9,27.3,14.2,14.2,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,180,0,0,18.5,25.8,13.2,13.2,0
GHCND:USS0021C43S,SKATE CREEK WA US,1149.1,46.64,-121.83,181,0,0,18,25.5,12.7,12.9,0
